


     2-D ITERATION BEHAVIOR
  734 0.8875E-04 0.3332E-03
  735 0.8851E-04 0.3327E-03
  736 0.8831E-04 0.3322E-03
  737 0.8811E-04 0.3317E-03
  738 0.8791E-04 0.3312E-03
  739 0.8771E-04 0.3307E-03
  740 0.8750E-04 0.3302E-03
  741 0.8729E-04 0.3297E-03
  742 0.8708E-04 0.3291E-03
  743 0.8686E-04 0.3286E-03
  744 0.8664E-04 0.3280E-03
  745 0.8642E-04 0.3274E-03
  746 0.8620E-04 0.3268E-03
  747 0.8597E-04 0.3262E-03
  748 0.8575E-04 0.3257E-03
  749 0.8552E-04 0.3253E-03
  750 0.8528E-04 0.3249E-03
